UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Los Angeles City College,MATH 1A,MATH 261 (5.00),MATH 261S (5.00),,
University of California Berkeley,Los Angeles City College,MATH 1B,MATH 262 (5.00),,,
University of California Berkeley,Los Angeles City College,MATH 53,MATH 263 (5.00),,,
University of California Berkeley,Los Angeles City College,MATH 54,MATH 270 (3.00); MATH 275 (3.00),,,
University of California Berkeley,Los Angeles City College,PHYSICS 7A; PHYSICS 7B; PHYSICS 7C,PHYSICS 101 (5.00); PHYSICS 102 (5.00); PHYSICS 103 (5.00),,,
University of California Berkeley,Los Angeles City College,ENGLISH R1A,ENGLISH 101 (3.00),,,
University of California Berkeley,Los Angeles City College,ENGLISH R1B,ENGLISH 102 (3.00),ENGLISH 103 (3.00),,
University of California Berkeley,Los Angeles City College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Los Angeles City College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Los Angeles City College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOLOGY 006 (5.00); BIOLOGY 007 (5.00),,,
University of California Berkeley,Los Angeles City College,CHEM 1A; CHEM 1AL,CHEM 101 (5.00),,,
University of California Berkeley,Los Angeles City College,CHEM 1B,CHEM 102 (5.00),,,
University of California Berkeley,Los Angeles City College,CHEM 3A; CHEM 3AL,CHEM 211 (5.00),,,
University of California Berkeley,Los Angeles City College,CHEM 3B; CHEM 3BL,CHEM 212 (5.00),,,
University of California Berkeley,Los Angeles City College,MCELLBI 32; MCELLBI 32L,PHYSIOL 001 (4.00),,,
University of California Berkeley,Los Angeles City College,PHYSICS 7A; PHYSICS 7B; PHYSICS 7C,PHYSICS 101 (5.00); PHYSICS 102 (5.00); PHYSICS 103 (5.00),,,
University of California Berkeley,Los Angeles City College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Los Angeles City College,COMPSCI 61B,Not Articulated,,,
University of California Berkeley,Los Angeles City College,COMPSCI 61C,CS 130 (3.00),,,
University of California Berkeley,Los Angeles City College,EECS 16A,Not Articulated,,,
University of California Berkeley,Los Angeles City College,EECS 16B,Not Articulated,,,
University of California Berkeley,Los Angeles City College,COMPSCI 70,Not Articulated,,,
University of California Davis,Los Angeles City College,ECS 020,MATH 272 (5.00),,,
University of California Davis,Los Angeles City College,ECS 036A,CS 116 (3.00),,,
University of California Davis,Los Angeles City College,ECS 036B,CS 216 (3.00),,,
University of California Davis,Los Angeles City College,ECS 036C,CS 136 (3.00),,,
University of California Davis,Los Angeles City College,ECS 050,CS 130 (3.00),,,
University of California Davis,Los Angeles City College,MAT 021A,MATH 261 (5.00),,,
University of California Davis,Los Angeles City College,MAT 021B,MATH 262 (5.00),,,
University of California Davis,Los Angeles City College,MAT 021C,MATH 263 (5.00),,,
University of California Davis,Los Angeles City College,MAT 022A,MATH 270 (3.00),,,
University of California Davis,Los Angeles City College,MAT 027A,Not Articulated,,,
University of California Davis,Los Angeles City College,MAT 067,Not Articulated,,,
University of California Davis,Los Angeles City College,BIS 002A,BIOLOGY 006 (5.00),,,
University of California Davis,Los Angeles City College,BIS 002B,BIOLOGY 006 (5.00); BIOLOGY 007 (5.00),,,
University of California Davis,Los Angeles City College,BIS 002C,BIOLOGY 007 (5.00),,,
University of California Davis,Los Angeles City College,CHE 002A; CHE 002B; CHE 002C,CHEM 101 (5.00); CHEM 102 (5.00),,,
University of California Davis,Los Angeles City College,CHE 004A,Not Articulated,,,
University of California Davis,Los Angeles City College,CHE 004B,Not Articulated,,,
