UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Los Angeles Harbor College,MATH 1A,MATH 265 (5.00),,,
University of California Berkeley,Los Angeles Harbor College,MATH 1B,MATH 266 (5.00),,,
University of California Berkeley,Los Angeles Harbor College,MATH 53,MATH 267 (5.00),,,
University of California Berkeley,Los Angeles Harbor College,MATH 54,MATH 270 (3.00); MATH 275 (3.00),,,
University of California Berkeley,Los Angeles Harbor College,PHYSICS 7A,PHYSICS 037 (5.00),,,
University of California Berkeley,Los Angeles Harbor College,PHYSICS 7B,PHYSICS 038 (5.00),,,
University of California Berkeley,Los Angeles Harbor College,ENGLISH R1A,ENGLISH 101 (3.00),,,
University of California Berkeley,Los Angeles Harbor College,ENGLISH R1B,ENGLISH 102 (3.00),,,
University of California Berkeley,Los Angeles Harbor College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Los Angeles Harbor College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Los Angeles Harbor College,BIOLOGY 1A; BIOLOGY 1AL; BIOLOGY 1B,BIOLOGY 006 (5.00); BIOLOGY 007 (5.00),,,
University of California Berkeley,Los Angeles Harbor College,CHEM 1A; CHEM 1AL,CHEM 101 (5.00),,,
University of California Berkeley,Los Angeles Harbor College,CHEM 1B,CHEM 102 (5.00),,,
University of California Berkeley,Los Angeles Harbor College,CHEM 3A; CHEM 3AL,CHEM 211 (5.00),,,
University of California Berkeley,Los Angeles Harbor College,CHEM 3B; CHEM 3BL,CHEM 212 (5.00),,,
University of California Berkeley,Los Angeles Harbor College,MCELLBI 32; MCELLBI 32L,Not Articulated,,,
University of California Berkeley,Los Angeles Harbor College,PHYSICS 7C,PHYSICS 039 (5.00),,,
University of California Berkeley,Los Angeles Harbor College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Los Angeles Harbor College,COMPSCI 61B,CS 136 (3.00),,,
University of California Berkeley,Los Angeles Harbor College,COMPSCI 61C,CS 130 (3.00),,,
University of California Berkeley,Los Angeles Harbor College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Los Angeles Harbor College,EECS 16A,ENG GEN 220 (4.00); MATH 270 (3.00),,,
University of California Berkeley,Los Angeles Harbor College,EECS 16B,Not Articulated,,,
University of California Davis,Los Angeles Harbor College,ECS 020,CS 131 (3.00),,,
