UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6
University of California Los Angeles,Santiago Canyon College,MATH 33B,MATH 287 (5.00),MATH 295 (3.00),,,,
University of California Los Angeles,Santiago Canyon College,MATH 61,Not Articulated,,,,,
University of California Los Angeles,Santiago Canyon College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 250A (5.00); PHYS 250B (5.00); PHYS 250C (5.00),,,,,
University of California Los Angeles,Santiago Canyon College,PHYSICS 4AL,Not Articulated,,,,,
University of California Los Angeles,Santiago Canyon College,PHYSICS 4BL,Not Articulated,,,,,
University of California Los Angeles,Santiago Canyon College,ENGCOMP 3,ENGL 101 (4.00),ENGL 101H (4.00),,,,
University of California Los Angeles,Santiago Canyon College,,ENGL 102 (4.00),ENGL 102H (4.00),ENGL 103 (4.00),ENGL 103H (4.00),,
University of California Los Angeles,Santiago Canyon College,,CMPR 121 (3.00),,,,,
University of California Merced,Santiago Canyon College,CSE 022,CMPR 120 (3.00); CMPR 121 (3.00),,,,,
University of California Merced,Santiago Canyon College,CSE 030,CMPR 131 (3.00),,,,,
University of California Merced,Santiago Canyon College,MATH 021,MATH 180 (4.00),MATH 180H (4.00),MATH 180S (4.50),,,
University of California Merced,Santiago Canyon College,MATH 022,MATH 185 (4.00),,,,,
University of California Merced,Santiago Canyon College,MATH 023,MATH 280 (4.00),,,,,
University of California Merced,Santiago Canyon College,MATH 024,MATH 290 (3.00); MATH 295 (3.00),MATH 287 (5.00),,,,
University of California Merced,Santiago Canyon College,PHYS 008; PHYS 008L,PHYS 250A (5.00),,,,,
University of California Merced,Santiago Canyon College,PHYS 009; PHYS 009L,PHYS 250B (5.00),,,,,
University of California Merced,Santiago Canyon College,CSE 015,CMPR 149 (3.00),,,,,
University of California Merced,Santiago Canyon College,CSE 022,CMPR 120 (3.00); CMPR 121 (3.00),,,,,
University of California Merced,Santiago Canyon College,CSE 024,Not Articulated,,,,,
University of California Merced,Santiago Canyon College,CSE 030,CMPR 131 (3.00),,,,,
University of California Merced,Santiago Canyon College,CSE 031,CMPR 129 (4.00),,,,,
University of California Merced,Santiago Canyon College,ENGR 065,Not Articulated,,,,,
University of California Merced,Santiago Canyon College,ENGR 091,Not Articulated,,,,,
University of California Merced,Santiago Canyon College,MATH 032,Not Articulated,,,,,
University of California Merced,Santiago Canyon College,ENGR 080,Not Articulated,,,,,
University of California Merced,Santiago Canyon College,WRI 001,ENGL 100 (4.50),ENGL 101 (4.00),ENGL 101H (4.00),,,
University of California Merced,Santiago Canyon College,WRI 010,ENGL 102 (4.00),ENGL 102H (4.00),ENGL 103 (4.00),ENGL 103H (4.00),PHIL 110 (4.00),READ 151 (3.00)
University of California Riverside,Santiago Canyon College,CS 10A,CMPR 121 (3.00),,,,,
University of California Riverside,Santiago Canyon College,CS 10B,CMPR 131 (3.00),,,,,
University of California Riverside,Santiago Canyon College,MATH 9A; MATH 9B; MATH 9C,MATH 180 (4.00); MATH 185 (4.00),,,,,
University of California Riverside,Santiago Canyon College,PHYS 40A,PHYS 250A (5.00),,,,,
University of California Riverside,Santiago Canyon College,CS 11,CMPR 149 (3.00),,,,,
University of California Riverside,Santiago Canyon College,CS 10C,Not Articulated,,,,,
University of California Riverside,Santiago Canyon College,CS 61,CMPR 129 (4.00),CMPR 154 (3.00),,,,
University of California Riverside,Santiago Canyon College,MATH 10A,MATH 280 (4.00),,,,,
University of California Riverside,Santiago Canyon College,PHYS 40B,PHYS 250A (5.00); PHYS 250B (5.00),,,,,
University of California Riverside,Santiago Canyon College,PHYS 40C,PHYS 250A (5.00); PHYS 250B (5.00),,,,,
University of California Riverside,Santiago Canyon College,EE 20B,Not Articulated,,,,,
University of California Riverside,Santiago Canyon College,MATH 31,MATH 287 (5.00),MATH 290 (3.00),,,,
University of California San Diego,Santiago Canyon College,CSE 8A,CMPR 112 (3.00),CMPR 120 (3.00),CMPR 213 (3.00),,,
University of California San Diego,Santiago Canyon College,CSE 8B,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,CSE 11,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,CSE 12,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,CSE 15L,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,CSE 20,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,CSE 21,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,CSE 30,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,MATH 18,MATH 287 (5.00),MATH 290 (3.00),,,,
University of California San Diego,Santiago Canyon College,MATH 20A,MATH 180 (4.00),MATH 180S (4.50),,,,
University of California San Diego,Santiago Canyon College,MATH 20B,MATH 185 (4.00),,,,,
University of California San Diego,Santiago Canyon College,MATH 20C,MATH 280 (4.00),,,,,
University of California San Diego,Santiago Canyon College,BILD 1,BIOL 211 (5.00); BIOL 221 (5.00); BIOL 231 (5.00),BIOL 211 (5.00); BIOL 213 (4.00); BIOL 215 (4.00),,,,
University of California San Diego,Santiago Canyon College,BILD 2,BIOL 211 (5.00); BIOL 221 (5.00); BIOL 231 (5.00),BIOL 211 (5.00); BIOL 213 (4.00); BIOL 215 (4.00),,,,
University of California San Diego,Santiago Canyon College,BILD 3,BIOL 211 (5.00); BIOL 221 (5.00); BIOL 231 (5.00),BIOL 211 (5.00); BIOL 213 (4.00); BIOL 215 (4.00),,,,
University of California San Diego,Santiago Canyon College,CHEM 6A,CHEM 200A (5.00),CHEM 200AH (5.00),,,,
University of California San Diego,Santiago Canyon College,CHEM 6B,CHEM 200A (5.00); CHEM 200B (5.00),CHEM 200AH (5.00); CHEM 200B (5.00),,,,
University of California San Diego,Santiago Canyon College,PHYS 2A,PHYS 250A (5.00),,,,,
University of California San Diego,Santiago Canyon College,PHYS 2B,PHYS 250B (5.00),,,,,
University of California San Diego,Santiago Canyon College,PHYS 4A,Not Articulated,,,,,
University of California San Diego,Santiago Canyon College,PHYS 4B,Not Articulated,,,,,
University of California Santa Barbara,Santiago Canyon College,MATH 3A,MATH 180 (4.00),MATH 180H (4.00),MATH 180S (4.50),,,
University of California Santa Barbara,Santiago Canyon College,MATH 3B,MATH 185 (4.00),,,,,
University of California Santa Barbara,Santiago Canyon College,MATH 4A,MATH 290 (3.00),MATH 287 (5.00),,,,
University of California Santa Barbara,Santiago Canyon College,MATH 4B,MATH 295 (3.00),MATH 287 (5.00),,,,
University of California Santa Barbara,Santiago Canyon College,CMPSC 16,CMPR 121 (3.00),CMPR 132 (3.00),,,,
University of California Santa Barbara,Santiago Canyon College,CMPSC 24,CMPR 131 (3.00),,,,,
University of California Santa Barbara,Santiago Canyon College,CMPSC 40,CMPR 149 (3.00),,,,,
University of California Santa Barbara,Santiago Canyon College,CMPSC 32,Not Articulated,,,,,
University of California Santa Barbara,Santiago Canyon College,CMPSC 64,CMPR 129 (4.00),CMPR 154 (3.00),,,,
University of California Santa Barbara,Santiago Canyon College,MATH 6A,MATH 280 (4.00),,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 1,PHYS 250A (5.00),,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 2,PHYS 250A (5.00); PHYS 250B (5.00),,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 3; PHYS 3L,PHYS 250B (5.00); PHYS 250C (5.00),,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 6A; PHYS 6AL; PHYS 6B; PHYS 6BL; PHYS 6C; PHYS 6CL,PHYS 150A (4.00); PHYS 150AC (1.00); PHYS 150B (4.00); PHYS 150BC (1.00),,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 7A,PHYS 250A (5.00),,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 7B,PHYS 250A (5.00); PHYS 250C (5.00),,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 7C,PHYS 250B (5.00); PHYS 250C (5.00),,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 7D,PHYS 250B (5.00); PHYS 250C (5.00),,,,,
University of California Santa Barbara,Santiago Canyon College,PHYS 7L,PHYS 250A (5.00); PHYS 250B (5.00),,,,,
University of California Santa Barbara,Santiago Canyon College,CHEM 1A; CHEM 1AL; CHEM 1B; CHEM 1BL; CHEM 1C; CHEM 1CL,CHEM 200A (5.00); CHEM 200B (5.00),CHEM 200AH (5.00); CHEM 200B (5.00),,,,
University of California Santa Barbara,Santiago Canyon College,MCDB 1A; MCDB 1LL,BIOL 211 (5.00); BIOL 213 (4.00); BIOL 215 (4.00),BIOL 211 (5.00); BIOL 221 (5.00); BIOL 231 (5.00),,,,
University of California Santa Barbara,Santiago Canyon College,MCDB 1B,BIOL 211 (5.00); BIOL 213 (4.00); BIOL 215 (4.00),BIOL 211 (5.00); BIOL 221 (5.00); BIOL 231 (5.00),,,,
University of California Santa Barbara,Santiago Canyon College,PSTAT 120A,Not Articulated,,,,,
University of California Santa Cruz,Santiago Canyon College,CSE 12,Not Articulated,,,,,
University of California Santa Cruz,Santiago Canyon College,CSE 16,Not Articulated,,,,,
University of California Santa Cruz,Santiago Canyon College,CSE 30,CMPR 131 (3.00),,,,,
University of California Santa Cruz,Santiago Canyon College,MATH 19A,MATH 180 (4.00),MATH 180S (4.50),,,,
University of California Santa Cruz,Santiago Canyon College,MATH 19B,MATH 185 (4.00),,,,,
University of California Santa Cruz,Santiago Canyon College,AM 10,MATH 287 (5.00),MATH 290 (3.00),,,,
University of California Santa Cruz,Santiago Canyon College,MATH 21,MATH 287 (5.00),MATH 290 (3.00),,,,
University of California Santa Cruz,Santiago Canyon College,AM 30,MATH 280 (4.00),,,,,
University of California Santa Cruz,Santiago Canyon College,MATH 23A,MATH 280 (4.00),,,,,
