UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5,Courses Group 6,Courses Group 7,Courses Group 8
University of California Berkeley,Norco College,MATH 1A,MAT 1A (4.00),,,,,,,
University of California Berkeley,Norco College,MATH 1B,MAT 1B (4.00),,,,,,,
University of California Berkeley,Norco College,MATH 53,MAT 1C (4.00),,,,,,,
University of California Berkeley,Norco College,MATH 54,MAT 2 (4.00); MAT 3 (3.00),,,,,,,
University of California Berkeley,Norco College,PHYSICS 7A,PHY 4A (4.00),,,,,,,
University of California Berkeley,Norco College,PHYSICS 7B,PHY 4B (4.00); PHY 4C (4.00),,,,,,,
University of California Berkeley,Norco College,ENGLISH R1A,ENG 1A (4.00),,,,,,,
University of California Berkeley,Norco College,ENGLISH R1B,ENG 1B (4.00),,,,,,,
University of California Berkeley,Norco College,ASTRON 7A,Not Articulated,,,,,,,
University of California Berkeley,Norco College,ASTRON 7B,Not Articulated,,,,,,,
University of California Berkeley,Norco College,BIOLOGY 1A; BIOLOGY 1AL,BIO 60 (5.00); BIO 61 (5.00),,,,,,,
University of California Berkeley,Norco College,BIOLOGY 1B,BIO 61 (5.00),,,,,,,
University of California Berkeley,Norco College,CHEM 1A; CHEM 1AL,CHE 1A (5.00),,,,,,,
University of California Berkeley,Norco College,CHEM 1B,CHE 1B (5.00),,,,,,,
University of California Berkeley,Norco College,CHEM 3A; CHEM 3AL,CHE 12A (5.00),,,,,,,
University of California Berkeley,Norco College,CHEM 3B; CHEM 3BL,CHE 12B (5.00),,,,,,,
University of California Berkeley,Norco College,MCELLBI 32; MCELLBI 32L,Not Articulated,,,,,,,
University of California Berkeley,Norco College,PHYSICS 7C,Not Articulated,,,,,,,
University of California Berkeley,Norco College,COMPSCI 61A,Not Articulated,,,,,,,
University of California Berkeley,Norco College,COMPSCI 61B,CIS 17C (3.00),CIS 18C (3.00),,,,,,
University of California Berkeley,Norco College,COMPSCI 61C,Not Articulated,,,,,,,
University of California Berkeley,Norco College,COMPSCI 70,Not Articulated,,,,,,,
University of California Berkeley,Norco College,EECS 16A,Not Articulated,,,,,,,
University of California Berkeley,Norco College,EECS 16B,Not Articulated,,,,,,,
University of California Davis,Norco College,ECS 020,Not Articulated,,,,,,,
University of California Davis,Norco College,ECS 036A,CIS 5 (4.00),CIS 17A (3.00),CIS 18A (3.00),CIS 18C (3.00),CIS 18B (3.00),CSC 5 (4.00),CSC 17A (3.00),CSC 18A (3.00)
University of California Davis,Norco College,ECS 036B,CIS 17B (3.00),,,,,,,
University of California Davis,Norco College,ECS 036C,CIS 17C (3.00),,,,,,,
University of California Davis,Norco College,ECS 050,CIS 11 (3.00),CSC 11 (3.00),,,,,,
University of California Davis,Norco College,MAT 021A,MAT 1A (4.00),,,,,,,
University of California Davis,Norco College,MAT 021B,MAT 1B (4.00),,,,,,,
University of California Davis,Norco College,MAT 021C,MAT 1C (4.00),,,,,,,
University of California Davis,Norco College,MAT 022A,MAT 3 (3.00),,,,,,,
University of California Davis,Norco College,MAT 027A,Not Articulated,,,,,,,
University of California Davis,Norco College,MAT 067,Not Articulated,,,,,,,
University of California Davis,Norco College,BIS 002A,BIO 60 (5.00),,,,,,,
University of California Davis,Norco College,BIS 002B,BIO 60 (5.00); BIO 61 (5.00),,,,,,,
University of California Davis,Norco College,BIS 002C,BIO 60 (5.00); BIO 61 (5.00),,,,,,,
University of California Davis,Norco College,CHE 002A; CHE 002B; CHE 002C,CHE 1A (5.00); CHE 1B (5.00),,,,,,,
University of California Davis,Norco College,CHE 004A,Not Articulated,,,,,,,
University of California Davis,Norco College,CHE 004B,Not Articulated,,,,,,,
