UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
University of California Berkeley,Los Angeles Mission College,MATH 1A,MATH 261 (5.00),,,
University of California Berkeley,Los Angeles Mission College,MATH 1B,MATH 262 (5.00),,,
University of California Berkeley,Los Angeles Mission College,MATH 53,MATH 263 (5.00),,,
University of California Berkeley,Los Angeles Mission College,MATH 54,MATH 270 (3.00); MATH 275 (3.00),,,
University of California Berkeley,Los Angeles Mission College,PHYSICS 7A; PHYSICS 7B,PHYSICS 037 (5.00); PHYSICS 038 (5.00),,,
University of California Berkeley,Los Angeles Mission College,ENGLISH R1A,ENGLISH 101 (3.00); ENGLISH 101X (3.00); ENGLISH 101Y (3.50); ENGLISH 101Z (4.00),,,
University of California Berkeley,Los Angeles Mission College,ENGLISH R1B,ENGLISH 102 (3.00),ENGLISH 103 (3.00),,
University of California Berkeley,Los Angeles Mission College,ASTRON 7A,Not Articulated,,,
University of California Berkeley,Los Angeles Mission College,ASTRON 7B,Not Articulated,,,
University of California Berkeley,Los Angeles Mission College,BIOLOGY 1A; BIOLOGY 1AL,BIOLOGY 006 (5.00); BIOLOGY 007 (5.00),,,
University of California Berkeley,Los Angeles Mission College,BIOLOGY 1B,BIOLOGY 003 (4.00); BIOLOGY 006 (5.00); BIOLOGY 007 (5.00),,,
University of California Berkeley,Los Angeles Mission College,CHEM 1A; CHEM 1AL,CHEM 101 (5.00),,,
University of California Berkeley,Los Angeles Mission College,CHEM 1B,CHEM 102 (5.00),,,
University of California Berkeley,Los Angeles Mission College,CHEM 3A; CHEM 3AL,CHEM 211 (5.00),CHEM 212 (5.00),,
University of California Berkeley,Los Angeles Mission College,CHEM 3B; CHEM 3BL,Not Articulated,,,
University of California Berkeley,Los Angeles Mission College,MCELLBI 32; MCELLBI 32L,PHYSIOL 001 (4.00),,,
University of California Berkeley,Los Angeles Mission College,PHYSICS 7C,Not Articulated,,,
University of California Berkeley,Los Angeles Mission College,COMPSCI 61A,Not Articulated,,,
University of California Berkeley,Los Angeles Mission College,COMPSCI 61B,CS 136 (3.00),,,
University of California Berkeley,Los Angeles Mission College,COMPSCI 61C,Not Articulated,,,
University of California Berkeley,Los Angeles Mission College,COMPSCI 70,Not Articulated,,,
University of California Berkeley,Los Angeles Mission College,EECS 16A,Not Articulated,,,
University of California Berkeley,Los Angeles Mission College,EECS 16B,Not Articulated,,,
University of California Davis,Los Angeles Mission College,ECS 020,MATH 272 (5.00),,,
University of California Davis,Los Angeles Mission College,ECS 036A,CS 113 (3.00),CS 114 (3.00),CS 216 (3.00),
University of California Davis,Los Angeles Mission College,ECS 036B,Not Articulated,,,
University of California Davis,Los Angeles Mission College,ECS 036C,Not Articulated,,,
University of California Davis,Los Angeles Mission College,ECS 050,Not Articulated,,,
University of California Davis,Los Angeles Mission College,MAT 021A,MATH 261 (5.00),,,
University of California Davis,Los Angeles Mission College,MAT 021B,MATH 262 (5.00),,,
