UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Berkeley,Cosumnes River College,MATH 1A,MATH 400 (5.00),,,,
University of California Berkeley,Cosumnes River College,MATH 1B,MATH 401 (5.00),,,,
University of California Berkeley,Cosumnes River College,MATH 53,MATH 402 (5.00),,,,
University of California Berkeley,Cosumnes River College,MATH 54,MATH 420 (4.00); MATH 410 (3.00),,,,
University of California Berkeley,Cosumnes River College,PHYSICS 7A,PHYS 411 (4.00),,,,
University of California Berkeley,Cosumnes River College,PHYSICS 7B,PHYS 421 (4.00),,,,
University of California Berkeley,Cosumnes River College,ENGLISH R1A,ENGWR 300 (3.00),ENGWR 480 (3.00),,,
University of California Berkeley,Cosumnes River College,ENGLISH R1B,ENGWR 301 (3.00),ENGWR 302 (3.00),,,
University of California Berkeley,Cosumnes River College,ASTRON 7A,Not Articulated,,,,
University of California Berkeley,Cosumnes River College,ASTRON 7B,Not Articulated,,,,
University of California Berkeley,Cosumnes River College,BIOLOGY 1A; BIOLOGY 1AL,BIOL 400 (5.00); BIOL 420 (5.00),,,,
University of California Berkeley,Cosumnes River College,BIOLOGY 1B,BIOL 400 (5.00); BIOL 410 (5.00),,,,
University of California Berkeley,Cosumnes River College,CHEM 1A; CHEM 1AL,CHEM 400 (5.00),,,,
University of California Berkeley,Cosumnes River College,CHEM 1B,CHEM 401 (5.00),,,,
University of California Berkeley,Cosumnes River College,CHEM 3A; CHEM 3AL,CHEM 420 (5.00),,,,
University of California Berkeley,Cosumnes River College,CHEM 3B; CHEM 3BL,CHEM 421 (5.00),,,,
University of California Berkeley,Cosumnes River College,MCELLBI 32; MCELLBI 32L,BIOL 430 (5.00); BIOL 431 (5.00),,,,
University of California Berkeley,Cosumnes River College,PHYSICS 7C,PHYS 431 (4.00),,,,
University of California Berkeley,Cosumnes River College,COMPSCI 61A,Not Articulated,,,,
University of California Berkeley,Cosumnes River College,COMPSCI 61B,CISP 430 (4.00),,,,
University of California Berkeley,Cosumnes River College,COMPSCI 61C,Not Articulated,,,,
University of California Berkeley,Cosumnes River College,COMPSCI 70,Not Articulated,,,,
University of California Berkeley,Cosumnes River College,EECS 16A,Not Articulated,,,,
University of California Berkeley,Cosumnes River College,EECS 16B,Not Articulated,,,,
University of California Davis,Cosumnes River College,ECS 020,CISP 440 (3.00),,,,
University of California Davis,Cosumnes River College,ECS 036A,CISP 401 (4.00),,,,
University of California Davis,Cosumnes River College,ECS 036B,CISP 400 (4.00),CISP 401 (4.00),,,
University of California Davis,Cosumnes River College,ECS 036C,CISP 430 (4.00),,,,
University of California Davis,Cosumnes River College,ECS 050,CISP 310 (4.00),,,,
University of California Davis,Cosumnes River College,MAT 021A,MATH 400 (5.00),,,,
University of California Davis,Cosumnes River College,MAT 021B,MATH 401 (5.00),,,,
University of California Davis,Cosumnes River College,MAT 021C; MAT 021D,MATH 402 (5.00),,,,
University of California Davis,Cosumnes River College,MAT 022A,MATH 410 (3.00),,,,
University of California Davis,Cosumnes River College,MAT 027A,Not Articulated,,,,
University of California Davis,Cosumnes River College,MAT 067,Not Articulated,,,,
University of California Davis,Cosumnes River College,BIS 002A; BIS 002B; BIS 002C,BIOL 400 (5.00); BIOL 410 (5.00); BIOL 420 (5.00),,,,
University of California Davis,Cosumnes River College,CHE 002A; CHE 002B; CHE 002C,CHEM 400 (5.00); CHEM 401 (5.00),,,,
University of California Davis,Cosumnes River College,CHE 004A,Not Articulated,,,,
University of California Davis,Cosumnes River College,CHE 004B,Not Articulated,,,,
