cc,system_type,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
de_anza,quarter,UCB+UCLA,2,IGETC,success,7,106.5,True,18.5,20,17,5,10,18.0,
de_anza,quarter,UCLA+UCSC,2,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCLA+UCM,2,IGETC,success,6,97.5,False,18.5,18.5,18.5,14,10,18.0,
de_anza,quarter,UCI+UCR,2,IGETC,success,5,91.0,False,20.0,20,15,18.0,18.0,0,
de_anza,quarter,UCI+UCSB,2,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCD+UCI,2,IGETC,success,4,74.0,False,20.0,17.5,18.5,18,0,0,
de_anza,quarter,UCB+UCI,2,IGETC,success,7,106.5,True,18.5,20,17,5,10,18.0,
de_anza,quarter,UCI+UCSC,2,IGETC,success,4,69.0,False,20.0,17.5,19.5,12,0,0,
de_anza,quarter,UCI+UCM,2,IGETC,success,6,102.0,False,20.0,18.5,18.5,17,10,18.0,
de_anza,quarter,UCR+UCSB,2,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCD+UCR,2,IGETC,success,4,74.0,False,20.0,17.5,18.5,18,0,0,
de_anza,quarter,UCB+UCR,2,IGETC,success,7,106.5,True,18.5,20,17,5,10,18.0,
de_anza,quarter,UCR+UCSC,2,IGETC,success,4,69.0,False,20.0,17.5,19.5,12,0,0,
de_anza,quarter,UCM+UCR,2,IGETC,success,6,102.0,False,20.0,18.5,18.5,17,10,18.0,
de_anza,quarter,UCD+UCSB,2,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCB+UCSB,2,IGETC,success,6,102.5,False,17.5,18.5,18.5,20,10,18.0,
de_anza,quarter,UCSB+UCSC,2,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCM+UCSB,2,IGETC,success,6,102.5,False,17.5,18.5,18.5,20,10,18.0,
de_anza,quarter,UCB+UCD,2,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCD+UCSC,2,IGETC,success,4,69.5,False,17.5,18.5,18.5,15,0,0,
de_anza,quarter,UCD+UCM,2,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCB+UCSC,2,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCB+UCM,2,IGETC,success,6,97.5,False,18.5,18.5,18.5,14,10,18.0,
de_anza,quarter,UCM+UCSC,2,IGETC,success,5,84.5,False,17.5,18.5,18.5,20,10,0,
de_anza,quarter,UCI+UCLA+UCSD,3,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCLA+UCR+UCSD,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCLA+UCSB+UCSD,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCD+UCLA+UCSD,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCB+UCLA+UCSD,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCLA+UCSC+UCSD,3,IGETC,success,5,89.0,False,20.0,17.5,18.5,20,13,0,
de_anza,quarter,UCLA+UCM+UCSD,3,IGETC,success,6,107.0,False,20.0,17.5,18.5,20,13,18.0,
de_anza,quarter,UCI+UCR+UCSD,3,IGETC,success,6,106.5,False,20.0,17.5,20.0,20,11,18.0,
de_anza,quarter,UCI+UCSB+UCSD,3,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCD+UCI+UCSD,3,IGETC,success,5,88.5,False,20.0,17.5,20.0,20,11,0,
de_anza,quarter,UCB+UCI+UCSD,3,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
de_anza,quarter,UCI+UCSC+UCSD,3,IGETC,success,5,88.5,False,20.0,17.5,20.0,20,11,0,
de_anza,quarter,UCI+UCM+UCSD,3,IGETC,success,5,93.5,False,20.0,17.5,20.0,20,16,0,
