Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Merced_Community_College_District.csv,1.57,2.0,2.18,1.0,1.64,0.0,1.11,1.0,1.11,0.0,4.0,0.0,2.86,1.0,1.11,0.0,1.57,0.0
Marin_Community_College_District.csv,1.0,1.0,1.68,0.0,1.32,0.0,1.54,0.0,0.79,0.0,1.75,0.0,2.82,0.0,1.29,0.0,1.0,0.0
Siskiyou_Joint_Community_College_District.csv,0.43,3.0,1.57,2.0,1.11,1.0,0.79,1.0,0.79,0.0,0.0,3.0,2.07,2.0,1.11,0.0,1.14,0.0
Imperial_Community_College_District.csv,2.68,0.0,1.32,2.0,0.75,2.0,0.79,1.0,0.79,0.0,0.0,3.0,1.96,3.0,0.75,1.0,1.54,0.0
Kern_Community_College_District.csv,0.43,3.0,2.11,1.0,2.25,1.0,1.0,0.0,0.79,0.0,0.0,3.0,3.46,2.0,1.21,0.0,1.0,0.0
Lassen_Community_College_District.csv,0.0,5.0,0.0,5.0,0.0,3.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,3.0
Cabrillo_Community_College_District.csv,2.14,0.0,1.64,0.0,1.86,0.0,1.14,0.0,0.79,0.0,1.75,0.0,2.79,0.0,1.11,0.0,1.14,0.0
San_Mateo_County_Community_College_District.csv,3.43,0.0,1.68,0.0,1.64,0.0,1.0,0.0,0.79,0.0,0.57,0.0,3.46,0.0,0.96,0.0,1.14,0.0
West_Kern_Community_College_District.csv,0.21,4.0,3.43,0.0,0.0,3.0,0.57,2.0,1.11,0.0,0.0,3.0,0.75,4.0,0.54,1.0,1.11,1.0
Desert_Community_College_District.csv,0.79,2.0,2.04,0.0,1.46,0.0,0.79,1.0,0.79,0.0,0.0,3.0,1.68,2.0,1.75,0.0,1.14,0.0
San_Jose-Evergreen_Community_College_District.csv,1.57,1.0,3.39,0.0,1.89,0.0,2.5,0.0,1.21,0.0,1.82,0.0,3.79,1.0,1.54,0.0,2.21,0.0
Shasta-Tehama-Trinity_Joint_Community_College_District.csv,0.43,3.0,2.0,0.0,1.29,1.0,0.79,1.0,0.79,0.0,0.0,3.0,2.39,1.0,0.89,0.0,1.14,0.0
Palo_Verde_Community_College_District.csv,0.54,6.0,0.0,7.0,0.0,5.0,0.54,6.0,0.0,4.0,0.0,5.0,0.0,8.0,0.0,5.0,0.54,4.0
San_Luis_Obispo_County_Community_College_District.csv,2.36,0.0,1.32,1.0,1.68,0.0,0.43,1.0,0.43,0.0,0.0,3.0,1.89,0.0,1.32,0.0,0.64,0.0
San_Francisco_Community_College_District.csv,2.32,0.0,2.21,0.0,1.32,0.0,1.86,0.0,0.96,0.0,4.0,0.0,1.89,0.0,1.36,0.0,1.18,0.0
Santa_Clarita_Community_College_District.csv,3.5,0.0,3.54,0.0,2.07,0.0,1.14,0.0,0.79,0.0,1.0,3.0,1.46,2.0,0.89,0.0,1.5,0.0
Long_Beach_Community_College_District.csv,0.79,2.0,1.54,0.0,0.89,1.0,0.86,0.0,0.43,0.0,0.43,0.0,2.18,1.0,0.43,0.0,0.79,0.0
Santa_Barbara_Community_College_District.csv,1.96,0.0,2.64,0.0,1.32,0.0,1.0,0.0,0.79,0.0,2.21,0.0,2.07,1.0,0.75,0.0,1.0,0.0
Coast_Community_College_District.csv,2.21,0.0,2.11,0.0,1.21,0.0,1.86,0.0,0.57,0.0,4.0,0.0,6.18,0.0,0.86,0.0,0.68,0.0
Napa_Valley_Community_College_District.csv,0.43,3.0,2.11,1.0,0.54,2.0,0.79,1.0,0.79,0.0,0.0,3.0,1.29,3.0,0.54,1.0,1.32,0.0
Redwoods_Community_College_District.csv,0.43,3.0,0.57,3.0,0.0,3.0,0.79,1.0,0.79,0.0,0.0,3.0,1.21,4.0,1.0,1.0,0.79,1.0
Mendocino-Lake_Community_College_District.csv,0.96,2.0,1.57,2.0,0.0,3.0,0.79,1.0,0.79,0.0,0.0,3.0,1.96,3.0,1.29,0.0,2.32,0.0
Santa_Monica_Community_College_District.csv,2.75,0.0,1.89,0.0,1.57,0.0,1.54,0.0,0.79,0.0,3.75,0.0,1.79,2.0,1.5,0.0,1.0,0.0
San_Joaquin_Delta_Community_College_District.csv,0.57,3.0,2.75,0.0,1.82,0.0,2.04,0.0,0.93,0.0,0.0,3.0,1.64,3.0,1.36,0.0,1.46,0.0
Feather_River_Community_College_District.csv,0.0,5.0,1.0,4.0,0.0,3.0,0.0,5.0,0.75,1.0,0.0,3.0,0.0,6.0,0.0,2.0,0.75,2.0
Cerritos_Community_College_District.csv,2.14,0.0,0.79,1.0,1.46,0.0,0.64,0.0,0.43,0.0,0.75,0.0,2.43,0.0,0.75,0.0,0.79,0.0
