cc,system_type,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
folsom_lake,semester,UCB+UCLA,2,IGETC,success,5,62,True,15,14,15,15,3,0,
folsom_lake,semester,UCLA+UCSC,2,IGETC,success,5,66,True,15,15,15,15,6,0,
folsom_lake,semester,UCLA+UCM,2,IGETC,success,5,62,True,15,14,15,15,3,0,
folsom_lake,semester,UCI+UCR,2,IGETC,success,5,68,True,15,14,15,9,15,0,
folsom_lake,semester,UCI+UCSB,2,IGETC,success,5,64,True,15,15,13,15,6,0,
folsom_lake,semester,UCD+UCI,2,IGETC,success,5,66,True,15,15,15,15,6,0,
folsom_lake,semester,UCB+UCI,2,IGETC,success,5,65,True,15,14,15,15,6,0,
folsom_lake,semester,UCI+UCSC,2,IGETC,success,5,61,True,15,15,13,15,3,0,
folsom_lake,semester,UCI+UCM,2,IGETC,success,5,69,True,15,15,15,15,9,0,
folsom_lake,semester,UCR+UCSB,2,IGETC,success,5,64,True,15,15,13,15,6,0,
folsom_lake,semester,UCD+UCR,2,IGETC,success,5,66,True,15,15,15,15,6,0,
folsom_lake,semester,UCB+UCR,2,IGETC,success,5,65,True,15,14,15,15,6,0,
folsom_lake,semester,UCR+UCSC,2,IGETC,success,5,61,True,15,14,14,15,3,0,
folsom_lake,semester,UCM+UCR,2,IGETC,success,5,69,True,15,15,15,15,9,0,
folsom_lake,semester,UCD+UCSB,2,IGETC,success,5,73,True,15,15,15,13,15,0,
folsom_lake,semester,UCB+UCSB,2,IGETC,success,5,62,True,15,14,15,15,3,0,
folsom_lake,semester,UCSB+UCSC,2,IGETC,success,5,61,True,15,15,13,15,3,0,
folsom_lake,semester,UCM+UCSB,2,IGETC,success,5,62,True,15,14,15,15,3,0,
folsom_lake,semester,UCB+UCD,2,IGETC,success,5,69,True,15,15,15,15,9,0,
folsom_lake,semester,UCD+UCSC,2,IGETC,success,5,66,True,15,15,15,15,6,0,
folsom_lake,semester,UCD+UCM,2,IGETC,success,5,69,True,15,15,15,15,9,0,
folsom_lake,semester,UCB+UCSC,2,IGETC,success,5,66,True,15,15,15,15,6,0,
folsom_lake,semester,UCB+UCM,2,IGETC,success,4,58,False,14,14,15,15,0,0,
folsom_lake,semester,UCM+UCSC,2,IGETC,success,5,66,True,15,15,15,15,6,0,
folsom_lake,semester,UCI+UCLA+UCSD,3,IGETC,success,5,73,True,15,15,15,13,15,0,
folsom_lake,semester,UCLA+UCR+UCSD,3,IGETC,success,5,73,True,15,15,15,13,15,0,
folsom_lake,semester,UCLA+UCSB+UCSD,3,IGETC,success,5,66,True,15,15,15,15,6,0,
folsom_lake,semester,UCD+UCLA+UCSD,3,IGETC,success,6,77,True,15,15,15,14,15,3,
folsom_lake,semester,UCB+UCLA+UCSD,3,IGETC,success,5,66,True,15,15,15,15,6,0,
folsom_lake,semester,UCLA+UCSC+UCSD,3,IGETC,success,5,70,True,15,15,15,13,12,0,
folsom_lake,semester,UCLA+UCM+UCSD,3,IGETC,success,5,66,True,15,15,15,15,6,0,
folsom_lake,semester,UCI+UCR+UCSD,3,IGETC,success,5,69,True,15,15,15,15,9,0,
folsom_lake,semester,UCI+UCSB+UCSD,3,IGETC,success,5,73,True,15,15,15,13,15,0,
folsom_lake,semester,UCD+UCI+UCSD,3,IGETC,success,5,73,True,15,15,15,13,15,0,
folsom_lake,semester,UCB+UCI+UCSD,3,IGETC,success,5,69,True,15,15,15,15,9,0,
