Community College,UCSD Articulated,UCSD Unarticulated,UCSB Articulated,UCSB Unarticulated,UCSC Articulated,UCSC Unarticulated,UCLA Articulated,UCLA Unarticulated,UCB Articulated,UCB Unarticulated,UCI Articulated,UCI Unarticulated,UCD Articulated,UCD Unarticulated,UCR Articulated,UCR Unarticulated,UCM Articulated,UCM Unarticulated
Merced_Community_College_District.csv,1.09,2.0,1.0,1.0,0.79,0.0,0.3,1.0,0.3,0.0,4.0,0.0,1.8,1.0,0.57,0.0,1.09,0.0
Marin_Community_College_District.csv,0.11,1.0,0.39,0.0,0.59,0.0,0.6,0.0,0.1,0.0,1.5,0.0,1.31,0.0,0.71,0.0,0.11,0.0
Siskiyou_Joint_Community_College_District.csv,0.03,3.0,1.09,2.0,0.57,1.0,0.1,1.0,0.1,0.0,0.0,3.0,1.09,2.0,0.57,0.0,0.17,0.0
Imperial_Community_College_District.csv,1.53,0.0,0.59,2.0,0.5,2.0,0.1,1.0,0.1,0.0,0.0,3.0,1.51,3.0,0.5,1.0,0.6,0.0
Kern_Community_College_District.csv,0.03,3.0,1.3,1.0,1.23,1.0,0.11,0.0,0.1,0.0,0.0,3.0,2.24,2.0,1.01,0.0,0.11,0.0
Lassen_Community_College_District.csv,0.0,5.0,0.0,5.0,0.0,3.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,6.0,0.0,2.0,0.0,3.0
Cabrillo_Community_College_District.csv,1.17,0.0,0.3,0.0,1.07,0.0,0.17,0.0,0.1,0.0,1.5,0.0,1.23,0.0,0.57,0.0,0.17,0.0
San_Mateo_County_Community_College_District.csv,3.03,0.0,0.39,0.0,0.79,0.0,0.11,0.0,0.1,0.0,0.09,0.0,2.24,0.0,0.51,0.0,0.17,0.0
West_Kern_Community_College_District.csv,0.01,4.0,2.5,0.0,0.0,3.0,0.09,2.0,0.3,0.0,0.0,3.0,0.23,4.0,0.21,1.0,0.3,1.0
Desert_Community_College_District.csv,0.1,2.0,0.73,0.0,0.64,0.0,0.1,1.0,0.1,0.0,0.0,3.0,0.66,2.0,1.5,0.0,0.17,0.0
San_Jose-Evergreen_Community_College_District.csv,0.2,1.0,1.8,0.0,0.67,0.0,1.24,0.0,0.13,0.0,0.71,0.0,2.23,1.0,0.6,0.0,1.13,0.0
Shasta-Tehama-Trinity_Joint_Community_College_District.csv,0.03,3.0,0.59,0.0,0.71,1.0,0.1,1.0,0.1,0.0,0.0,3.0,1.01,1.0,0.29,0.0,0.17,0.0
Palo_Verde_Community_College_District.csv,0.21,6.0,0.0,7.0,0.0,5.0,0.21,6.0,0.0,4.0,0.0,5.0,0.0,8.0,0.0,5.0,0.21,4.0
San_Luis_Obispo_County_Community_College_District.csv,1.19,0.0,0.59,1.0,0.66,0.0,0.03,1.0,0.03,0.0,0.0,3.0,0.67,0.0,0.59,0.0,0.04,0.0
San_Francisco_Community_College_District.csv,1.31,0.0,0.87,0.0,0.59,0.0,0.8,0.0,0.51,0.0,4.0,0.0,0.67,0.0,1.07,0.0,0.53,0.0
Santa_Clarita_Community_College_District.csv,2.24,0.0,1.59,0.0,1.21,0.0,0.17,0.0,0.1,0.0,1.0,3.0,0.37,2.0,0.29,0.0,0.24,0.0
Long_Beach_Community_College_District.csv,0.1,2.0,0.33,0.0,0.29,1.0,0.06,0.0,0.03,0.0,0.03,0.0,1.26,1.0,0.03,0.0,0.1,0.0
Santa_Barbara_Community_College_District.csv,0.63,0.0,0.9,0.0,0.59,0.0,0.11,0.0,0.1,0.0,2.01,0.0,0.81,1.0,0.23,0.0,0.11,0.0
Coast_Community_College_District.csv,1.3,0.0,0.86,0.0,0.57,0.0,0.8,0.0,0.09,0.0,4.0,0.0,5.09,0.0,0.5,0.0,0.09,0.0
Napa_Valley_Community_College_District.csv,0.03,3.0,1.3,1.0,0.21,2.0,0.1,1.0,0.1,0.0,0.0,3.0,0.44,3.0,0.21,1.0,0.31,0.0
Redwoods_Community_College_District.csv,0.03,3.0,0.09,3.0,0.0,3.0,0.1,1.0,0.1,0.0,0.0,3.0,1.01,4.0,1.0,1.0,0.1,1.0
Mendocino-Lake_Community_College_District.csv,0.24,2.0,1.09,2.0,0.0,3.0,0.1,1.0,0.1,0.0,0.0,3.0,1.51,3.0,0.71,0.0,1.31,0.0
Santa_Monica_Community_College_District.csv,1.61,0.0,0.67,0.0,1.09,0.0,0.6,0.0,0.1,0.0,3.5,0.0,1.1,2.0,1.0,0.0,0.11,0.0
