cc,system_type,ucs,uc_count,ge_pattern,status,total_terms,total_units,over_2_years,units_term_1,units_term_2,units_term_3,units_term_4,units_term_5,units_term_6,error
los_angeles_city_college,semester,UCSD,1,IGETC,success,5,79,True,16,17,16,18,12,0,
los_angeles_city_college,semester,UCLA,1,IGETC,success,4,68,False,16,17,17,18,0,0,
los_angeles_city_college,semester,UCI,1,IGETC,success,4,60,False,16,17,18,9,0,0,
los_angeles_city_college,semester,UCR,1,IGETC,success,4,70,False,16,18,18,18,0,0,
los_angeles_city_college,semester,UCSB,1,IGETC,success,5,72,True,16,17,18,18,3,0,
los_angeles_city_college,semester,UCD,1,IGETC,success,5,79,True,16,17,16,18,12,0,
los_angeles_city_college,semester,UCB,1,IGETC,success,5,77,True,16,17,17,9,18,0,
los_angeles_city_college,semester,UCSC,1,IGETC,success,5,74,True,16,17,17,18,6,0,
los_angeles_city_college,semester,UCM,1,IGETC,success,4,68,False,16,17,17,18,0,0,
los_angeles_city_college,semester,UCLA+UCSD,2,IGETC,success,5,82,True,16,17,16,18,15,0,
los_angeles_city_college,semester,UCI+UCSD,2,IGETC,success,5,79,True,16,17,16,18,12,0,
los_angeles_city_college,semester,UCR+UCSD,2,IGETC,success,5,79,True,16,17,16,18,12,0,
los_angeles_city_college,semester,UCSB+UCSD,2,IGETC,success,5,82,True,16,17,16,18,15,0,
los_angeles_city_college,semester,UCD+UCSD,2,IGETC,success,5,82,True,16,17,16,18,15,0,
los_angeles_city_college,semester,UCB+UCSD,2,IGETC,success,5,79,True,16,17,16,18,12,0,
los_angeles_city_college,semester,UCSC+UCSD,2,IGETC,success,5,82,True,16,17,16,18,15,0,
los_angeles_city_college,semester,UCM+UCSD,2,IGETC,success,5,79,True,16,17,16,18,12,0,
los_angeles_city_college,semester,UCI+UCLA,2,IGETC,success,5,74,True,16,17,17,18,6,0,
los_angeles_city_college,semester,UCLA+UCR,2,IGETC,success,4,68,False,16,17,17,18,0,0,
los_angeles_city_college,semester,UCLA+UCSB,2,IGETC,success,5,77,True,16,17,17,18,9,0,
los_angeles_city_college,semester,UCD+UCLA,2,IGETC,success,5,85,True,16,17,17,17,18,0,
los_angeles_city_college,semester,UCB+UCLA,2,IGETC,success,4,68,False,16,17,17,18,0,0,
los_angeles_city_college,semester,UCLA+UCSC,2,IGETC,success,5,85,True,16,17,17,17,18,0,
los_angeles_city_college,semester,UCLA+UCM,2,IGETC,success,5,71,True,16,17,17,18,3,0,
los_angeles_city_college,semester,UCI+UCR,2,IGETC,success,4,66,False,16,17,18,15,0,0,
los_angeles_city_college,semester,UCI+UCSB,2,IGETC,success,5,78,True,16,17,18,18,9,0,
los_angeles_city_college,semester,UCD+UCI,2,IGETC,success,5,82,True,16,17,16,18,15,0,
los_angeles_city_college,semester,UCB+UCI,2,IGETC,success,4,68,False,16,17,17,18,0,0,
los_angeles_city_college,semester,UCI+UCSC,2,IGETC,success,5,77,True,16,17,17,18,9,0,
los_angeles_city_college,semester,UCI+UCM,2,IGETC,success,5,80,True,16,17,17,18,12,0,
los_angeles_city_college,semester,UCR+UCSB,2,IGETC,success,5,72,True,16,17,18,18,3,0,
los_angeles_city_college,semester,UCD+UCR,2,IGETC,success,5,79,True,16,17,16,18,12,0,
los_angeles_city_college,semester,UCB+UCR,2,IGETC,success,4,65,False,16,17,17,15,0,0,
los_angeles_city_college,semester,UCR+UCSC,2,IGETC,success,5,74,True,16,17,17,18,6,0,
los_angeles_city_college,semester,UCM+UCR,2,IGETC,success,4,68,False,16,17,17,18,0,0,
los_angeles_city_college,semester,UCD+UCSB,2,IGETC,success,6,88,True,16,17,17,17,18,3,
los_angeles_city_college,semester,UCB+UCSB,2,IGETC,success,5,77,True,16,17,17,18,9,0,
los_angeles_city_college,semester,UCSB+UCSC,2,IGETC,success,5,83,True,16,17,18,17,15,0,
los_angeles_city_college,semester,UCM+UCSB,2,IGETC,success,5,77,True,16,17,17,18,9,0,
los_angeles_city_college,semester,UCB+UCD,2,IGETC,success,5,82,True,16,17,16,18,15,0,
los_angeles_city_college,semester,UCD+UCSC,2,IGETC,success,5,79,True,16,17,16,18,12,0,
los_angeles_city_college,semester,UCD+UCM,2,IGETC,success,5,82,True,16,17,16,18,15,0,
los_angeles_city_college,semester,UCB+UCSC,2,IGETC,success,5,82,True,16,17,17,17,15,0,
los_angeles_city_college,semester,UCB+UCM,2,IGETC,success,4,68,False,16,17,17,18,0,0,
los_angeles_city_college,semester,UCM+UCSC,2,IGETC,success,5,82,True,16,17,17,17,15,0,
los_angeles_city_college,semester,UCI+UCLA+UCSD,3,IGETC,success,5,82,True,16,17,16,18,15,0,
los_angeles_city_college,semester,UCLA+UCR+UCSD,3,IGETC,success,5,82,True,16,17,16,18,15,0,
los_angeles_city_college,semester,UCLA+UCSB+UCSD,3,IGETC,success,5,82,True,16,17,16,18,15,0,
los_angeles_city_college,semester,UCD+UCLA+UCSD,3,IGETC,success,5,85,True,16,17,16,18,18,0,
los_angeles_city_college,semester,UCB+UCLA+UCSD,3,IGETC,success,5,82,True,16,17,16,18,15,0,
los_angeles_city_college,semester,UCLA+UCSC+UCSD,3,IGETC,success,5,85,True,16,17,16,18,18,0,
los_angeles_city_college,semester,UCLA+UCM+UCSD,3,IGETC,success,5,82,True,16,17,16,18,15,0,
